per,PERMITEXP,EXP,REGION,TOWN,PROJNAME,FLOW,Applicant,Contact,Address,CAddress,
1,06/21/2017,26-Sep-23,SE,YARMOUTH,BUCK ISLAND CONDO.,30000,Buck Island Village Condominium Trust,"Alan Aarons, BIV Trustee",481 BUCK ISLAND ROAD,"481 Buck Island Road  West Yarmouth, MA  02673",
3,12/15/2017,21-Mar-24,NE,LINCOLN,LINCOLN HOMES,26000,"New Lincoln Woods, LLC",Monica Luchini,50 WELLS ROAD,"50 Wells Road  Lincoln, MA  01773",
4,02/10/2020,18-May-26,NE,IPSWICH,IPSWICH COUNTRY CLUB,75000,Ipswich Club Homes Homeowner's Assoc.,Steve Mangano,75 NEWBURY TURNPIKE,"c/o Thayer & Associates, Inc.
PO Box 400196, 1812 Mass Avenue  Cambridge, MA  02140",
18,10/06/2017,11-Jan-24,CE,ACTON,"NAGOG TREATMENT FACILITY, LLC",200000,Nagog Woods Community Corporation,Nancy Mandino,DURKEE LANE,"Village of Nagog Woods
100 Nonset Path  Acton, MA  01718",
19,08/05/2020,05-Aug-25,NE,HAMILTON,GORDON-CONWELL,58000,Gordon Conwell Theological Seminary,Tim Ingraham,130 ESSEX STREET,"130 Essex Street  Hamilton, MA  01982",
20,08/25/2020,25-Aug-25,SE,SWANSEA,SWANSEA MALL,95000,"Carlyle Swansea Partners, LLC",Michael J. Mello,788 WOOD STREET,"262 Swansea Mall Drive
SUITE 775  Swansea, MA  02777",
21,11/05/2018,09-Feb-25,SE,BARNSTABLE,BARNSTABLE WWTP,4200000,Town of Barnstable WPC Dept.,Peter Doyle,617 BEARSES WAY,"617 Bearses Way  HYANNIS, MA  02601",
23,11/09/2021,09-Nov-26,NE,SUDBURY,MEADOW WALK,90000,BPR Sudbury Development LLC,Steve Senna,203 BAY ROAD,"National Development
2310 Washington Street  Newton Lower Falls, MA  02462",
24,11/30/2018,06-Mar-25,SE,EDGARTOWN,EDGARTOWN WWTF,750000,Edgartown Wastewater Commission,Joseph Alosso,WEST TISBURY ROAD,"PO Box 1068
West Tisbury Road  Edgartown, MA  02539",
34,11/14/2017,19-Feb-24,NE,WILMINGTON,"HRP FORDHAM, LLC",30000,"HRP Fordham, LLC",Eric Darci,50 FORDHAM ROAD,"c/o Hilco Redevelopment Partners
99 Summer Street, suite 1110  Boston, MA  02110",
41,05/21/2018,25-Aug-24,SE,SANDWICH,OTIS AFB,360000,Department of the Air Force,Thurman R Deane,971 SOUTH OUTER ROAD,"102nd Intelligence Wing
156 Reily Street, Box 46  Otis Air Nat'l Guard, MA  02542",
44,03/15/2019,20-Jun-25,SE,CHATHAM,CHATHAM WWTF,2300000,"Town of Chatham, WPC Board",Robert A Duncanson,59 SAM RYDER ROAD,"549 Main Street  Chatham, MA  02633",
45,08/30/2017,05-Dec-23,NE,NORTH READING,GREENBRIAR ESTATES CONDOMINIUMS,40000,Greenbriar Estates Condominiums,Lidia Real-Costa,4 GREENBRIAR DRIVE,"c/o The Dartmouth Group
131 Hartwell Avenue. Suite 115  Lexington, MA  02421",
49,06/14/2016,19-Sep-22,SE,FALMOUTH,SEACREST CONDO ASSOC,85000,"Scout Sea Crest Management, LLC",Clark Guinn,350 QUAKER ROAD,"350 Quaker Road  North Falmout, MA  02556",
52,09/26/2023,26-Sep-28,WE,STOCKBRIDGE,KRIPALU CENTER,58000,Kripalu Center,Wayne Higgins,WEST STREET/RTE 183,"P.O. Box 309
57 Interlaken Road  Stockbridge, MA  01262",
79,11/28/2023,28-Nov-28,CE,LITTLETON,550 KING STREET,40000,"550 King Street, LLC",Salvatore Lupoli,550 KING STREET,"290 Merrimack Street
2nd Floor  Lawrence, MA  01843",
84,12/23/1996,23-Dec-01,SE,BREWSTER,CAMP WONO,2300,Mrs. Berry Richardson,Berry Richardson,MAIN STREET,"P.O. Box 1880  Brewster, MA  02631",
87,09/17/2021,17-Sep-26,NE,WESTFORD,WESTFORD REGENCY HOTEL,40600,"Westford Regency Hotel, Empire Hospitality",Mark Waxler,219 LITTLETON ROAD,"219 Littleton Road  Westford, MA  01886",
93,11/05/2021,05-Nov-26,NE,WESTFORD,HILDRETH HILLS CONDO.,44700,Hildreth Hills Condominium Trust,Mike Fugate,OFF HILDRETH STREET,"c/o The Dartmouth Group
4 Preston Court  Bedford, MA  01730",
95,11/13/2017,18-Feb-24,CE,ACTON,FARMBROOK CONDO. TRUST,105000,Farmbrook Trust,Alice Clark,48 DAVIS STREET,"21 Davis Road  Acton, MA  01720",
96,03/09/2020,14-Jun-26,NE,ANDOVER,COLONIAL DRIVE CONDO.,33110,Colonial Drive Condominium Trust,Linda Marquis,MAIN STREET,"Main Street
P.O. Box 808  Andover, MA  01810",
109,09/29/1992,29-Sep-97,SE,ORLEANS,ORLEANS BOWLING CENTER,12000,Orleans Bowling Center,David Currier,191 CRANBERRY HIGHWAY,"191 Route 6A
P.O. Box 422  Orleans, MA  02653",
119,12/01/2010,01-Dec-19,SE,EASTON,FRIENDS CROSSING CONDO.,31000,Friends Crossings Trust,"Maureen Prokopy, Trustee",1 FRIENDS ROAD,"1 Friends Road  North Easton, MA  02356",
142,08/03/2020,03-Aug-25,NE,NORTH READING,PARK COLONY CONDOMINIUM,26000,Park Colony Condominium Trust,Steve Mangano,36-46 MAIN STREET,"c/o Thayer & Associates
1812 Massachusetts Avenue  Cambridge, MA  02140",
162,05/06/2021,06-May-26,SE,YARMOUTH,THE COVE RESORT HOTEL,39900,The Cove at Yarmouth,Michael Edwards,183 MAIN STREET/RTE. 28,"183 Main Street  Yarmouth, MA  02673",
164,08/15/1994,15-Aug-99,SE,BOURNE,BOURNE LAUNDROMAT,9600,Del Realty Limited,Richard DeLuca,105 TROWBRIDGE,"885 Washington Street  Weymouth, MA  02189",
168,03/30/2015,30-Mar-20,SE,FALMOUTH,FALMOUTH WWTF,800000,Town of Falmouth,Raymond Jack,154 BLACKSMITH SHOP ROAD,"59 Town Hall Square  Falmouth, MA  02540",
171,05/15/2017,20-Aug-23,SE,WEST TISBURY,MARTHA'S VINEYARD AIRPORT,37000,Martha's Vineyard Airport Commission,Sean Flynn,71 AIRPORT ROAD,"71 Airport Road
P.O. Box 190  Edgartown, MA  02539",
179,03/13/2020,13-Mar-25,SE,CARVER,OCEAN SPRAY CRANBERRIES,75000,Ocean Spray Cranberries,Patricia Gallagher,60 FEDERAL ROAD,"152 Bridge Street  Middleborough, MA  02346",
184,05/24/2023,24-May-28,SE,HANOVER,HANOVER CROSSING,130000,Hanover Crossing POWTF Owners Association,Lloyd Sova,1775 WASHINGTON ST,"5905 E. Galbraith Road
Suite 1000  Cincinatti, OH  45236",
188,12/05/2003,05-Dec-12,WE,HANCOCK,JIMINY PEAK,100000,"Jiminy Peak, Inc.",Jim VanDyke,COREY ROAD,"37 Corey Road  Hancock, MA  01237",
191,09/06/2023,06-Sep-28,SE,KINGSTON,"TOWN & COUNTRY MOBILE HOMES, INC",44200,Town & Country Kingston Estates Cooperative Corp.,Chris Yule,SUMMER STREET,"5 Mountain Ash Drive  Kingston, MA  02364",
200,11/19/2019,26-Mar-26,SE,NANTUCKET,SURFSIDE WWTP,4000000,Nantucket Department of Public Works,Kara Buzanoski,SOUTHSHORE ROAD,"188 Madaket Road  Nantucket, MA  02554",
201,09/07/2001,07-Sep-06,SE,NANTUCKET,SIASCONSET WWTP,220000,Town of Nantucket,Board of Selectmen,1 LOW BEACH ROAD,"188 Madaket Road  Nantucket, MA  02554",
221,05/28/2015,02-Sep-21,SE,PLYMOUTH,PLYMOUTH SOUTH HIGHSCHOOL,22000,Town of Plymout Public Schools,Arthur Montrond,490 LONG POND ROAD,"10 Oak Street  Plymouth, MA  02360",
226,02/17/2009,17-Feb-18,SE,PLYMOUTH,SUMMER HILL CONDO.,48970,Summer Hill Condominium Trust,James Brown,SUMMER ST,"c/o The Dolben Company
25 Corporate Drive  BURLINGTON, MA  01803",
249,03/22/2017,27-Jun-23,CE,STURBRIDGE,PILOT TRAVEL CENTER,37000,"Pilot Travel Centers, LLC",Joey Cupp,"400 HAYNES STREET, ROUTE 15","5508 Lonas Road
P.O. Box 10146  Knoxville, TN  37909",
250,03/26/2018,30-Jun-24,NE,MIDDLETON,FULLER POND VILLAGE,48000,Fuller Pond Condominium Trust,sarah luscomb,STONY BROOK LANE,"c/o Barkan Management Company, inc
77 Main Street  Hopkinton, MA  01748",
258,11/08/2018,12-Feb-25,SE,PLYMOUTH,WHITE CLIFFS CONDO.,80000,White Cliffs Community Association,David Mastroianni,STATE ROAD,"1 East Cliff Drive  Plymouth, MA  02360",
259,09/21/2018,26-Dec-24,CE,ACTON,GREAT ROAD CONDOMINIUMS,27720,Great Road Condominium Trust,Debra R. Jean,GREAT ROAD,"380C Great Road  Acton, MA  01718",
263,08/16/2021,16-Aug-26,SE,MASHPEE,WINDCHIME POINT,40000,"Paige Property Management, LLC",Nancy Paige,GREAT NECK ROAD,"c/o Windchime Condominium Association
P.O. Box 321  Centerville, MA  02632",
263,08/16/2021,16-Aug-26,SE,MASHPEE,WINDCHIME POINT,40000,Windchime Condominium Association,Anthony Colletti,GREAT NECK ROAD,"c/o American Properties Team, Inc
500 West Cummings Park, Suite 6050  Woburn, MA  01801",
272,03/15/2022,15-Mar-27,SE,MASHPEE,SOUTHPORT ON CAPE COD,172000,"Southport of Cape Cod Condo Assoc, Inc.","Teri Bergman, president",44 RELIANCE WAY,"23 Southport Drive  Mashpee, MA  02649",
